Plato,Categoria,Tiempo_Min,Insumo_Principal,Costo,Precio,Tipo_Menu
Carapulcra con Sopa Seca,Plato Fuerte,12,Cerdo y Papa Seca,7.5,13,Menú Día
Arroz con Pollo,Plato Fuerte,10,Pollo,7,14,Menú Día
Ají de Gallina,Plato Fuerte,12,Pollo Deshilachado,7.8,14,Menú Día
Lomo Saltado,Plato Fuerte,15,Lomo Fino,10.5,18,Menú Ejecutivo
Tallarín Saltado Criollo,Plato Fuerte,12,Carne de Res,9,16,Menú Ejecutivo
Seco a la Norteña con Frejoles,Plato Fuerte,18,Cabrito,11,18,Menú Ejecutivo
Chicharrones Iqueños,Plato Fuerte,20,Cerdo,18,35,Platos a la Carta
Picante a la Tacneña,Plato Fuerte,18,Mondongo,15,28,Platos a la Carta
Adobo Arequipeño,Plato Fuerte,25,Cerdo,16,30,Platos a la Carta
Rocoto Relleno,Entrada,15,Rocoto y Carne,8,16,Platos a la Carta
Papa a la Huancaína,Entrada,8,Papa y Ají Amarillo,4,12,Menú Día
Chicha Morada 1L,Bebida,2,Maíz Morado,3.5,10,Todos
Maracuyá 1L,Bebida,2,Maracuyá,3.5,10,Todos
Emoliente,Bebida,5,Cebada y Linaza,2,6,Menú Día
Suspiro a la Limeña,Postre,5,Manjar y Merengue,4,12,Platos a la Carta
